Date,Open,High,Low,Close,Volume,Market Cap
"Dec 31, 2015",425.88,432.92,418.74,430.57,"45,996,600","6,399,190,000"
"Dec 30, 2015",433.30,434.39,422.08,426.62,"46,889,400","6,508,960,000"
"Dec 29, 2015",422.10,432.98,420.63,432.98,"51,596,500","6,339,010,000"
"Dec 28, 2015",423.34,429.77,418.48,422.28,"49,638,600","6,356,100,000"
"Dec 27, 2015",416.51,424.01,408.88,422.82,"53,591,200","6,251,440,000"
"Dec 26, 2015",455.76,457.49,405.76,417.27,"116,166,000","6,838,480,000"
"Dec 25, 2015",454.86,458.31,452.07,455.65,"39,078,500","6,823,120,000"
"Dec 24, 2015",443.09,458.46,443.08,454.99,"57,157,200","6,645,120,000"
"Dec 23, 2015",436.72,444.53,436.62,442.40,"47,161,400","6,547,850,000"
"Dec 22, 2015",437.44,443.69,435.52,436.57,"50,840,400","6,556,960,000"
"Dec 21, 2015",442.84,444.73,427.31,438.64,"77,639,700","6,636,280,000"
"Dec 20, 2015",462.23,462.64,434.34,442.69,"75,409,400","6,925,030,000"
"Dec 19, 2015",463.55,465.58,456.76,462.32,"47,892,700","6,942,950,000"
"Dec 18, 2015",455.85,465.18,454.94,463.62,"60,220,100","6,825,640,000"
"Dec 17, 2015",454.78,457.86,448.86,456.08,"47,978,400","6,807,850,000"
"Dec 16, 2015",465.21,465.21,443.85,454.93,"107,944,000","6,962,090,000"
"Dec 15, 2015",443.88,465.32,443.88,465.32,"83,121,100","6,640,850,000"
"Dec 14, 2015",433.27,447.14,430.46,444.18,"130,496,000","6,480,070,000"
"Dec 13, 2015",431.66,441.68,426.27,433.75,"55,050,600","6,454,430,000"
"Dec 12, 2015",452.33,469.10,410.74,435.00,"131,969,000","6,761,730,000"
"Dec 11, 2015",415.28,451.94,415.28,451.94,"110,944,000","6,206,150,000"
"Dec 10, 2015",417.99,419.51,411.55,415.48,"52,138,900","6,244,360,000"
"Dec 09, 2015",414.44,423.12,406.29,417.56,"90,917,200","6,189,620,000"
"Dec 08, 2015",395.75,415.56,389.95,415.56,"57,801,400","5,908,810,000"
"Dec 07, 2015",389.98,399.97,385.41,395.54,"63,455,800","5,821,140,000"
"Dec 06, 2015",389.56,402.81,387.09,388.78,"77,762,000","5,813,290,000"
"Dec 05, 2015",363.72,389.79,363.23,388.95,"66,282,200","5,426,180,000"
"Dec 04, 2015",361.26,363.52,355.76,363.18,"35,784,100","5,388,110,000"
"Dec 03, 2015",359.33,370.27,357.41,361.05,"50,714,900","5,358,040,000"
"Dec 02, 2015",361.85,362.23,349.46,359.19,"54,160,500","5,394,070,000"
"Dec 01, 2015",377.41,378.93,356.56,362.49,"60,452,200","5,624,580,000"
"Nov 30, 2015",371.44,382.36,370.38,377.32,"71,701,600","5,534,000,000"
"Nov 29, 2015",357.47,371.94,355.67,371.29,"40,409,300","5,324,610,000"
"Nov 28, 2015",357.14,359.54,352.17,357.38,"36,816,600","5,318,300,000"
"Nov 27, 2015",351.86,363.59,347.87,358.04,"55,179,100","5,238,500,000"
"Nov 26, 2015",328.30,366.76,328.23,352.68,"106,105,000","4,886,330,000"
"Nov 25, 2015",320.05,329.13,316.77,328.21,"41,666,900","4,762,230,000"
"Nov 24, 2015",323.01,323.06,318.12,320.05,"29,362,600","4,805,160,000"
"Nov 23, 2015",324.35,325.12,321.29,323.05,"27,478,900","4,823,700,000"
"Nov 22, 2015",326.98,327.01,321.26,324.54,"23,439,400","4,861,340,000"
"Nov 21, 2015",322.09,328.16,319.60,326.93,"28,200,500","4,787,340,000"
"Nov 20, 2015",326.41,326.47,312.22,322.02,"53,152,900","4,850,170,000"
"Nov 19, 2015",334.68,335.33,325.27,326.15,"45,011,100","4,971,880,000"
"Nov 18, 2015",334.59,336.53,330.64,334.59,"43,783,800","4,969,330,000"
"Nov 17, 2015",330.36,338.35,329.61,335.09,"51,001,600","4,905,260,000"
"Nov 16, 2015",319.74,331.63,315.90,330.75,"47,980,100","4,746,070,000"
"Nov 15, 2015",333.05,334.66,317.49,320.17,"44,213,100","4,942,420,000"
"Nov 14, 2015",336.62,338.18,329.97,332.91,"38,612,000","4,994,250,000"
"Nov 13, 2015",338.50,340.91,326.07,336.75,"52,003,000","5,020,700,000"
"Nov 12, 2015",314.08,345.08,313.36,338.15,"78,477,800","4,657,240,000"
"Nov 11, 2015",339.82,340.58,301.00,311.08,"107,070,000","5,037,510,000"
"Nov 10, 2015",379.98,381.39,329.11,336.82,"95,797,900","5,631,520,000"
"Nov 09, 2015",374.32,385.28,362.89,380.26,"68,224,400","5,546,240,000"
"Nov 08, 2015",384.28,389.89,368.70,373.37,"51,817,600","5,692,390,000"
"Nov 07, 2015",374.27,390.59,372.43,386.48,"56,625,100","5,542,680,000"
"Nov 06, 2015",388.05,395.84,354.02,374.47,"122,687,000","5,745,320,000"
